created_date,predicted_count
2020-02-01,29532
2020-02-02,29838
2020-02-03,30284
2020-02-04,30152
2020-02-05,29526
2020-02-06,28862
2020-02-07,28372
2020-02-08,29308
2020-02-09,29259
2020-02-10,29189
2020-02-11,29091
2020-02-12,29006
2020-02-13,28969
2020-02-14,28979
2020-02-15,29024
2020-02-16,28995
2020-02-17,28971
2020-02-18,28952
2020-02-19,28939
2020-02-20,28933
2020-02-21,28928
2020-02-22,28923
2020-02-23,28913
2020-02-24,28905
2020-02-25,28899
2020-02-26,28894
2020-02-27,28890
2020-02-28,28885
2020-02-29,28881
