repo_language,count
JavaScript,25162
Python,14312
TypeScript,10926
Java,10554
HTML,9766
C#,9548
Ruby,7291
C++,4952
Go,4833
PHP,3185
C,3156
CSS,2017
Shell,2004
Jupyter Notebook,1624
Dart,1303
Vue,1201
Rust,797
Kotlin,719
Scala,445
Swift,438
R,359
Objective-C,329
Dockerfile,300
TeX,281
Makefile,250
OCaml,217
Groovy,217
HCL,187
Smarty,161
Haskell,133
PowerShell,121
Lua,116
Julia,111
Elixir,105
TSQL,102
CoffeeScript,101
Reason,96
Vim script,79
Clojure,75
Emacs Lisp,58
PLpgSQL,40
Liquid,38
Solidity,37
Perl,36
MATLAB,33
Roff,32
CMake,32
DM,30
Game Maker Language,25
Vala,25
F#,25
Nim,21
Erlang,20
Batchfile,18
Ada,17
Brainfuck,16
Assembly,16
Elm,15
PostScript,14
Fortran,14
Hack,12
Gherkin,11
AMPL,11
Rich Text Format,11
PLSQL,10
LLVM,10
Processing,10
XSLT,9
Pascal,9
AGS Script,8
Awk,8
Stata,7
VCL,7
Nix,6
Common Lisp,6
SQF,6
Smalltalk,6
PureBasic,5
Limbo,5
Racket,5
DIGITAL Command Language,5
Apex,4
BitBake,4
Jsonnet,4
Haxe,4
Brightscript,4
Visual Basic .NET,4
ColdFusion,4
GDScript,3
Puppet,3
Arduino,3
Mathematica,3
ANTLR,3
D,3
Papyrus,2
Prolog,2
VimL,2
Zeek,2
Zig,2
VBA,2
Verilog,2
Scilab,2
GLSL,2
Open Policy Agent,2
Mask,2
NetLogo,2
ShaderLab,2
QML,1
COBOL,1
Scheme,1
1C Enterprise,1
Gnuplot,1
